Version;Date_of_report;Date_of_statistics_week_start;Variant_code;Variant_name;ECDC_category;WHO_category;May_include_samples_listed_before;Sample_size;Variant_cases
3;2022-03-23 17:41:04;2021-01-18;BA.3;;VOC;VOC;True;651;0
3;2022-03-23 17:41:04;2021-01-25;B.1.351;Beta;VOC;;False;876;14
3;2022-03-23 17:41:04;2021-01-25;P.1;Gamma;VOC;;False;876;1
3;2022-03-23 17:41:04;2021-01-25;B.1.617.2;Delta;VOC;VOC;False;876;0
3;2022-03-23 17:41:04;2021-01-25;B.1.1.529;Omicron;VOC;VOC;False;876;0
3;2022-03-23 17:41:04;2021-01-25;B.1.640;;VUM;VUM;False;876;0
3;2022-03-23 17:41:04;2021-01-25;XF;;VUM;;False;876;0
3;2022-03-23 17:41:04;2021-01-25;XD;;VUM;VUM;False;876;0
3;2022-03-23 17:41:04;2021-01-25;B.1.1.7;Alpha;DEV;;False;876;216
3;2022-03-23 17:41:04;2021-01-25;B.1.621;Mu;DEV;;False;876;0
3;2022-03-23 17:41:04;2021-01-25;C.37;Lambda;DEV;;False;876;0
3;2022-03-23 17:41:04;2021-01-25;BA.1;;VOC;VOC;True;876;0
3;2022-03-23 17:41:04;2021-01-25;BA.2;;VOC;VOC;True;876;0
3;2022-03-23 17:41:04;2021-01-25;BA.3;;VOC;VOC;True;876;0
3;2022-03-23 17:41:04;2021-02-01;B.1.351;Beta;VOC;;False;867;18
3;2022-03-23 17:41:04;2021-02-01;P.1;Gamma;VOC;;False;867;0
3;2022-03-23 17:41:04;2021-02-01;B.1.617.2;Delta;VOC;VOC;False;867;0
3;2022-03-23 17:41:04;2021-02-01;B.1.1.529;Omicron;VOC;VOC;False;867;0
3;2022-03-23 17:41:04;2021-02-01;B.1.640;;VUM;VUM;False;867;0
3;2022-03-23 17:41:04;2021-02-01;XF;;VUM;;False;867;0
3;2022-03-23 17:41:04;2021-02-01;XD;;VUM;VUM;False;867;0
3;2022-03-23 17:41:04;2021-02-01;B.1.1.7;Alpha;DEV;;False;867;206
3;2022-03-23 17:41:04;2021-02-01;B.1.621;Mu;DEV;;False;867;0
3;2022-03-23 17:41:04;2021-02-01;C.37;Lambda;DEV;;False;867;0
3;2022-03-23 17:41:04;2021-02-01;BA.1;;VOC;VOC;True;867;0
3;2022-03-23 17:41:04;2021-02-01;BA.2;;VOC;VOC;True;867;0
3;2022-03-23 17:41:04;2021-02-01;BA.3;;VOC;VOC;True;867;0
3;2022-03-23 17:41:04;2021-02-08;B.1.351;Beta;VOC;;False;937;30
3;2022-03-23 17:41:04;2021-02-08;P.1;Gamma;VOC;;False;937;0
3;2022-03-23 17:41:04;2021-02-08;B.1.617.2;Delta;VOC;VOC;False;937;0
3;2022-03-23 17:41:04;2021-02-08;B.1.1.529;Omicron;VOC;VOC;False;937;0
3;2022-03-23 17:41:04;2021-02-08;B.1.640;;VUM;VUM;False;937;0
3;2022-03-23 17:41:04;2021-02-08;XF;;VUM;;False;937;0
3;2022-03-23 17:41:04;2021-02-08;XD;;VUM;VUM;False;937;0
3;2022-03-23 17:41:04;2021-02-08;B.1.1.7;Alpha;DEV;;False;937;250
3;2022-03-23 17:41:04;2021-02-08;B.1.621;Mu;DEV;;False;937;0
3;2022-03-23 17:41:04;2021-02-08;C.37;Lambda;DEV;;False;937;0
3;2022-03-23 17:41:04;2021-02-08;BA.1;;VOC;VOC;True;937;0
3;2022-03-23 17:41:04;2021-02-08;BA.2;;VOC;VOC;True;937;0
3;2022-03-23 17:41:04;2021-02-08;BA.3;;VOC;VOC;True;937;0
3;2022-03-23 17:41:04;2021-02-15;B.1.351;Beta;VOC;;False;1048;32
3;2022-03-23 17:41:04;2021-02-15;P.1;Gamma;VOC;;False;1048;1
3;2022-03-23 17:41:04;2021-02-15;B.1.617.2;Delta;VOC;VOC;False;1048;0
3;2022-03-23 17:41:04;2021-02-15;B.1.1.529;Omicron;VOC;VOC;False;1048;0
3;2022-03-23 17:41:04;2021-02-15;B.1.640;;VUM;VUM;False;1048;0
3;2022-03-23 17:41:04;2021-02-15;XF;;VUM;;False;1048;0
3;2022-03-23 17:41:04;2021-02-15;XD;;VUM;VUM;False;1048;0
3;2022-03-23 17:41:04;2021-02-15;B.1.1.7;Alpha;DEV;;False;1048;617
3;2022-03-23 17:41:04;2021-02-15;B.1.621;Mu;DEV;;False;1048;0
3;2022-03-23 17:41:04;2021-02-15;C.37;Lambda;DEV;;False;1048;0
3;2022-03-23 17:41:04;2021-02-15;BA.1;;VOC;VOC;True;1048;0
3;2022-03-23 17:41:04;2021-02-15;BA.2;;VOC;VOC;True;1048;0
3;2022-03-23 17:41:04;2021-02-15;BA.3;;VOC;VOC;True;1048;0
3;2022-03-23 17:41:04;2021-02-22;B.1.351;Beta;VOC;;False;1037;19
3;2022-03-23 17:41:04;2021-02-22;P.1;Gamma;VOC;;False;1037;3
